EF,239,0,0,,EF,239,0,0,12
EE,238,1,0,,EE,238,1,0,40
EE,238,2,0,,EE,238,2,0,16
EE,238,3,0,,EE,238,3,0,16
EE,238,4,0,,EE,238,4,0,16
EE,238,5,0,,EE,238,5,0,8
ED,237,6,0,,ED,237,6,0,8
ED,237,7,0,,ED,237,7,0,8
EC,236,8,0,,EC,236,8,0,8
EC,236,9,0,,EC,236,9,0,8
EB,235,10,0,,EB,235,10,0,8
EA,234,11,0,,EA,234,11,0,8
E9,233,12,0,,E9,233,12,0,0
E8,232,13,0,,E8,232,13,0,8
E7,231,14,0,,E7,231,14,0,8
E6,230,15,0,,E6,230,15,0,8
E5,229,16,0,,E5,229,16,0,0
E4,228,17,0,,E4,228,17,0,8
E3,227,18,0,,E3,227,18,0,8
E2,226,19,0,,E2,226,19,0,0
E0,224,20,0,,,,20,0,8
DF,223,21,0,,,,21,0,0
DD,221,22,0,,,,22,0,8
DC,220,23,0,,,,23,0,8
DA,218,24,0,,,,24,0,0
D9,217,25,0,,,,25,0,8
D7,215,26,0,,,,26,0,0
D5,213,27,0,,,,27,0,8
D3,211,28,0,,,,28,0,0
D1,209,29,0,,,,29,0,8
CF,207,30,0,,,,30,0,0
CD,205,31,0,,,,31,0,8
CB,203,32,0,,,,32,0,0
C9,201,33,0,,,,33,0,8
C7,199,34,0,,,,34,0,0
C5,197,35,0,,,,35,0,8
C3,195,36,0,,,,36,0,0
C0,192,37,0,,,,37,0,8
BE,190,38,0,,,,38,0,0
BC,188,39,0,,,,39,0,8
B9,185,40,0,,,,40,0,0
B7,183,41,0,,,,41,0,8
B4,180,42,0,,,,42,0,0
B2,178,43,0,,,,43,0,8
AF,175,44,0,,,,44,0,0
AD,173,45,0,,,,45,0,8
AA,170,46,0,,,,46,0,0
A7,167,47,0,,,,47,0,0
A5,165,48,0,,,,48,0,8
A2,162,49,0,,,,49,0,0
9F,159,50,0,,,,50,0,8
9C,156,51,0,,,,51,0,0
99,153,52,0,,,,52,0,0
97,151,53,0,,,,53,0,8
94,148,54,0,,,,54,0,0
91,145,55,0,,,,55,0,8
8E,142,56,0,,,,56,0,0
8B,139,57,0,,,,57,0,8
88,136,58,0,,,,58,0,0
85,133,59,0,,,,59,0,0
82,130,60,0,,,,60,0,8
80,128,61,0,,,,61,0,0
7D,125,62,0,,,,62,0,0
7A,122,63,0,,,,63,0,8
77,119,64,0,,,,64,0,0
74,116,65,0,,,,65,0,8
71,113,66,0,,,,66,0,0
6E,110,67,0,,,,67,0,0
6B,107,68,0,,,,68,0,8
68,104,69,0,,,,69,0,0
65,101,70,0,,,,70,0,8
62,98,71,0,,,,71,0,0
5F,95,72,0,,,,72,0,0
5D,93,73,0,,,,73,0,8
5A,90,74,0,,,,74,0,0
57,87,75,0,,,,75,0,0
54,84,76,0,,,,76,0,8
51,81,77,0,,,,77,0,0
4F,79,78,0,,,,78,0,0
4C,76,79,0,,,,79,0,8
49,73,80,0,,,,80,0,0
46,70,81,0,,,,81,0,8
44,68,82,0,,,,82,0,0
41,65,83,0,,,,83,0,0
3F,63,84,0,,,,84,0,8
3C,60,85,0,,,,85,0,0
39,57,86,0,,,,86,0,0
37,55,87,0,,,,87,0,8
35,53,88,0,,,,88,0,0
32,50,89,0,,,,89,0,0
30,48,90,0,,,,90,0,8
2D,45,91,0,,,,91,0,0
2B,43,92,0,,,,92,0,0
29,41,93,0,,,,93,0,8
27,39,94,0,,,,94,0,0
25,37,95,0,,,,95,0,8
23,35,96,0,,,,96,0,0
21,33,97,0,,,,97,0,0
1F,31,98,,,,,98,0,8
1D,29,99,,,,,99,0,0
1B,27,100,,,,,100,0,0
19,25,101,,,,,101,0,8
17,23,102,,,,,102,0,0
16,22,103,,,,,103,0,0
14,20,104,,,,,104,0,8
12,18,105,,,,,105,0,0
11,17,106,,,,,106,0,0
F,15,107,,,,,107,0,8
E,14,108,,,,,108,0,0
D,13,109,,,,,109,0,0
B,11,110,,,,,110,0,8
A,10,111,,,,,111,0,0
,0,112,,,,,112,0,0
9,9,113,,,,,113,0,8
8,8,114,,,,,114,0,0
7,7,115,,,,,115,0,0
6,6,116,,,,,116,0,8
5,5,117,,,,,117,0,0
4,4,118,,,,,118,0,0
4,4,119,,,,,119,0,8
3,3,120,,,,,120,0,0
3,3,121,,,,,121,0,0
2,2,122,,,,,122,0,8
2,2,123,,,,,123,0,0
1,1,124,,,,,124,0,0
1,1,125,,,,,125,0,8
1,1,126,,,,,126,0,0
1,1,127,,,,,127,0,0
1,1,128,,,,,128,0,8
,0,129,,,,,129,0,0
1,1,130,,,,,130,0,8
1,1,131,,,,,131,0,0
1,1,132,,,,,132,0,0
1,1,133,,,,,133,0,8
1,1,134,,,,,134,0,0
2,2,135,,,,,135,0,0
2,2,136,,,,,136,0,8
3,3,137,,,,,137,0,0
3,3,138,,,,,138,0,0
4,4,139,,,,,139,0,8
4,4,140,,,,,140,0,0
5,5,141,,,,,141,0,0
6,6,142,,,,,142,0,8
7,7,143,,,,,143,0,0
8,8,144,,,,,144,0,0
9,9,145,,,,,145,0,8
,0,146,,,,,146,0,0
A,10,147,,,,,147,0,0
B,11,148,,,,,148,0,8
D,13,149,,,,,149,0,0
E,14,150,,,,,150,0,0
F,15,151,,,,,151,0,8
11,17,152,,,,,152,0,0
12,18,153,,,,,153,0,8
14,20,154,,,,,154,0,0
16,22,155,,,,,155,0,0
17,23,156,,,,,156,0,8
19,25,157,,,,,157,0,0
1B,27,158,,,,,158,0,0
1D,29,159,,,,,159,0,8
1F,31,160,,,,,160,0,0
21,33,161,,,,,161,0,0
23,35,162,,,,,162,0,8
25,37,163,,,,,163,0,0
27,39,164,,,,,164,0,0
29,41,165,,,,,165,0,8
2B,43,166,,,,,166,0,0
2D,45,167,,,,,167,0,8
30,48,168,,,,,168,0,0
32,50,169,,,,,169,0,0
35,53,170,,,,,170,0,8
37,55,171,,,,,171,0,0
39,57,172,,,,,172,0,0
3C,60,173,,,,,173,0,8
3F,63,174,,,,,174,0,0
41,65,175,,,,,175,0,8
44,68,176,,,,,176,0,0
46,70,177,,,,,177,0,0
49,73,178,,,,,178,0,8
4C,76,179,,,,,179,0,0
4F,79,180,,,,,180,0,8
51,81,181,,,,,181,0,0
54,84,182,,,,,182,0,0
57,87,183,,,,,183,0,8
5A,90,184,,,,,184,0,0
5D,93,185,,,,,185,0,8
5F,95,186,,,,,186,0,0
62,98,187,,,,,187,0,0
65,101,188,,,,,188,0,8
68,104,189,,,,,189,0,0
6B,107,190,,,,,190,0,8
6E,110,191,,,,,191,0,0
71,113,192,,,,,192,0,8
74,116,193,,,,,193,0,0
77,119,194,,,,,194,0,0
7A,122,195,,,,,195,0,8
7D,125,196,,,,,196,0,0
80,128,197,,,,,197,0,8
82,130,198,,,,,198,0,0
85,133,199,,,,,199,0,8
88,136,200,,,,,200,0,0
8B,139,201,,,,,201,0,8
8E,142,202,,,,,202,0,0
91,145,203,,,,,203,0,7
94,148,204,,,,,204,0,0
97,151,205,,,,,205,0,7
99,153,206,,,,,206,0,0
9C,156,207,,,,,207,0,7
9F,159,208,,,,,208,0,0
A2,162,209,,,,,209,0,7
A5,165,210,,,,,210,0,0
A7,167,211,,,,,211,0,7
AA,170,212,,,,,212,0,0
AD,173,213,,,,,213,0,7
AF,175,214,,,,,214,0,0
B2,178,215,,,,,215,0,7
B4,180,216,,,,,216,0,0
B7,183,217,,,,,217,0,7
B9,185,218,,,,,218,0,7
BC,188,219,,,,,219,0,0
BE,190,220,,,,,220,0,7
C0,192,221,,,,,221,0,7
C3,195,222,,,,,222,0,0
C5,197,223,,,,,223,0,7
C7,199,224,,,,,224,0,7
C9,201,225,,,,,225,0,0
CB,203,226,,,,,226,1,7
CD,205,227,,,,,227,1,7
CF,207,228,,,,,228,1,7
D1,209,229,,,,,229,1,7
D3,211,230,,,,,230,1,7
D5,213,231,,,,,231,1,7
D7,215,232,,,,,232,1,7
D9,217,233,,,,,233,1,7
DA,218,234,,,,,234,1,7
DC,220,235,,,,,235,1,7
DD,221,236,,,,,236,2,14
DF,223,237,,,,,237,2,14
E0,224,238,,,,,238,5,38
E2,226,239,,,,,239,1,1
E3,227,240,,,,,240,0,0
E4,228,241,,,,,241,0,0
E5,229,242,,,,,242,0,0
E6,230,243,,,,,243,0,0
E7,231,244,,,,,244,0,0
E8,232,245,,,,,245,0,0
E9,233,246,,,,,246,0,0
EA,234,247,,,,,247,0,0
EB,235,248,,,,,248,0,0
EC,236,249,,,,,249,0,0
EC,236,250,,,,,250,0,0
ED,237,251,,,,,251,0,0
ED,237,252,,,,,252,0,0
EE,238,253,,,,,253,0,0
EE,238,254,,,,,254,0,0
EE,238,255,,,,,255,0,0
EE,238,,,,,,,0,0
EE,238,,,,,,,,
EE,238,,,,,,,,
EE,238,,,,,,,,
EE,238,,,,,,,,
EE,238,,,,,,,,
EE,238,,,,,,,,
EE,238,,,,,,,,
ED,237,,,,,,,,
ED,237,,,,,,,,
EC,236,,,,,,,,
EC,236,,,,,,,,
EB,235,,,,,,,,
EA,234,,,,,,,,
E9,233,,,,,,,,
E8,232,,,,,,,,
E7,231,,,,,,,,
E6,230,,,,,,,,
E5,229,,,,,,,,
E4,228,,,,,,,,
E3,227,,,,,,,,
E2,226,,,,,,,,
E0,224,,,,,,,,
DF,223,,,,,,,,
DD,221,,,,,,,,
DC,220,,,,,,,,
DA,218,,,,,,,,
D9,217,,,,,,,,
D7,215,,,,,,,,
D5,213,,,,,,,,
D3,211,,,,,,,,
D1,209,,,,,,,,
CF,207,,,,,,,,
CD,205,,,,,,,,
CB,203,,,,,,,,
C9,201,,,,,,,,
C7,199,,,,,,,,
C5,197,,,,,,,,
C3,195,,,,,,,,
C0,192,,,,,,,,
BE,190,,,,,,,,
BC,188,,,,,,,,
B9,185,,,,,,,,
B7,183,,,,,,,,
B4,180,,,,,,,,
B2,178,,,,,,,,
AF,175,,,,,,,,
AD,173,,,,,,,,
AA,170,,,,,,,,
A7,167,,,,,,,,
A5,165,,,,,,,,
A2,162,,,,,,,,
9F,159,,,,,,,,
9C,156,,,,,,,,
99,153,,,,,,,,
97,151,,,,,,,,
94,148,,,,,,,,
91,145,,,,,,,,
8E,142,,,,,,,,
8B,139,,,,,,,,
88,136,,,,,,,,
85,133,,,,,,,,
82,130,,,,,,,,
80,128,,,,,,,,
7D,125,,,,,,,,
7A,122,,,,,,,,
77,119,,,,,,,,
74,116,,,,,,,,
71,113,,,,,,,,
6E,110,,,,,,,,
6B,107,,,,,,,,
68,104,,,,,,,,
65,101,,,,,,,,
62,98,,,,,,,,
5F,95,,,,,,,,
5D,93,,,,,,,,
5A,90,,,,,,,,
57,87,,,,,,,,
54,84,,,,,,,,
51,81,,,,,,,,
4F,79,,,,,,,,
4C,76,,,,,,,,
49,73,,,,,,,,
46,70,,,,,,,,
44,68,,,,,,,,
41,65,,,,,,,,
3F,63,,,,,,,,
3C,60,,,,,,,,
39,57,,,,,,,,
37,55,,,,,,,,
35,53,,,,,,,,
